NUM,UC,Tran_Num,Activity_Num,Actor_Num,Component_num,Boundary_Num,Control_Num,Entity_Num,EI,EQ,INT,DM,CTRL,EXTIVK,EXTCLL,TRAN_NA,NT,Avg_TL,Avg_TD, Avg_TC, Avg_DETs, Arch_Diff,EI,EO,EQ,FN,SWTI,SWTII,SWTIII
29,Design Coupon,6,15,0,13,2,9,2,0,0,1,0,3,0,1,3,3,7.333333333333333,NaN,NaN,5.333333333333333,NaN,0,0,24,6,6.0888,6.444,7.000800000000001
30,Modify Offer,3,8,0,7,1,2,4,0,0,0,0,0,0,0,3,0,0,NaN,0,0,NaN,0,0,12,3,3.0443999999999996,3.3236999999999997,3.5004
31,Partner Login,7,25,0,12,0,5,7,1,0,0,1,1,0,1,6,1,44,NaN,NaN,37,NaN,0,0,28,7,7.1036,13.1382,13.2406
32,Publish Offer,6,15,0,12,1,2,9,1,0,0,1,1,0,1,5,1,27,NaN,NaN,21,NaN,0,0,24,6,6.0888,6.647399999999999,7.000800000000001
33,Specify default payment method use case,61,33,0,29,11,5,13,1,0,1,1,2,0,2,59,2,417.5,NaN,NaN,387,NaN,0,0,244,61,61.90280000000004,118.17259999999999,166.5948000000001
34,Test Coupon,4,16,0,13,6,3,4,0,0,0,0,0,0,0,4,0,0,NaN,0,0,NaN,0,0,16,4,4.0592,4.296,4.6672
35,Upload Image,6,15,0,10,2,7,1,0,0,1,0,5,0,1,1,5,3.6,NaN,NaN,2.4,NaN,0,0,24,6,6.0888,6.444,7.000800000000001
36,View Bill,11,20,0,19,16,2,1,0,0,0,0,0,0,0,11,0,0,NaN,0,0,NaN,0,0,44,11,11.162799999999997,19.511,21.601799999999997
37,Annotate trip plan,164,26,0,25,8,5,12,0,0,0,0,0,0,0,164,0,0,NaN,0,0,NaN,0,0,656,164,166.42719999999997,328.0847999999986,436.48820000000006
38,Connect to trip plan - Trip Planner,29,18,0,16,5,5,6,0,0,0,0,0,0,0,29,0,0,NaN,0,0,NaN,0,0,116,29,29.42920000000001,57.4753,62.518700000000045
39,Find add and delete places,687,43,0,41,6,10,25,0,0,0,0,0,0,0,687,0,0,NaN,0,0,NaN,0,0,2748,687,697.1676000000023,1365.7107000000149,1753.810099999998
40,Login to TripPlanner,3,11,0,10,3,5,2,0,0,0,0,0,0,0,3,0,0,NaN,0,0,NaN,0,0,12,3,3.0443999999999996,5.0954,5.1914
41,Manage Trip Plan,58,23,0,21,5,3,13,0,0,0,0,0,0,0,58,0,0,NaN,0,0,NaN,0,0,232,58,58.85840000000004,95.76700000000002,96.42139999999996
42,Manage subscription,29,22,0,21,9,5,7,0,0,0,0,0,0,0,29,0,0,NaN,0,0,NaN,0,0,116,29,29.42920000000001,48.7185,49.05620000000002
43,Print photo books,614,27,0,24,12,6,6,0,0,0,0,0,0,0,614,0,0,NaN,0,0,NaN,0,0,2456,614,623.0871999999996,1208.9310000000114,1332.214200000002
44,Schedule visit and view trip calendar,16,13,0,11,2,5,4,0,0,0,0,0,0,0,16,0,0,NaN,0,0,NaN,0,0,64,16,16.236799999999995,24.6776,25.432799999999997
45,Subscribe and unsubscribe from partner offer,15,22,0,20,4,12,4,0,0,0,0,0,0,0,15,0,0,NaN,0,0,NaN,0,0,60,15,15.221999999999994,17.656899999999997,18.3475
46,View Trip Plan on Map and get Directions,6,15,0,14,2,9,3,0,0,0,0,0,0,0,6,0,0,NaN,0,0,NaN,0,0,24,6,6.0888,8.4191,8.6918
47,View partner offer,7,19,0,18,4,11,3,0,0,0,0,0,0,0,7,0,0,NaN,0,0,NaN,0,0,28,7,7.1036,11.3665,11.5496
