Team. NO.,Semester,PROJ,Type,PREC,FLEX,RESL,TEAM,PMAT,RELY,DATA,CPLX,RUSE,DOCU,TIME,STOR,PVOL,ACAP,PCAP,PCON,APEX,PLEX,LTEX,TOOL,SITE,SCED
,,,Module-Student Management,,,,,,N,H,H,L,N,N,N,L,N,N,N,L,N,N,L,H,N
,,,Module- document management,,,,,,L,L,L,L,N,N,N,L,N,N,N,L,N,N,L,H,N
,,,Module- site information,,,,,,L,L,L,L,N,N,N,L,N,N,N,L,N,N,L,H,N
,,,Module- schedule,,,,,,N,N,L,L,N,N,N,L,N,N,N,L,N,N,L,H,N
14,Spring 2014,S14b_Healthy_Kids_Zone_SurveyApp,Mobile/web,VL,H,H,H,N,,,,,,,,,,,,,,,,,
,,,Module 1,,,,,,L,L,L,L,N,N,N,L,H,H,VH,L,L,N,L,VH,N
,,,Module 2,,,,,,L,L,L,L,N,N,N,L,H,H,VH,N,L,N,L,VH,N
,,,Module 3,,,,,,L,N,L,L,N,H,N,L,H,H,VH,N,L,N,L,VH,N
,,,Module 4,,,,,,L,L,N,L,N,H,N,L,H,H,VH,L,L,N,L,VH,N
,,,Module 5,,,,,,L,L,L,L,N,N,N,L,H,H,VH,L,L,N,L,VH,N
3,Fall 2013,F13a_Mission_Science_Information_and Data_Management_System ,VBA,L,H,N,H,N,N,L,N,H,N,N,VH,L,H,H,VL,L,L,L,L,H,N
4,Fall 2013,F13a_LiveRiot_Video_Editing_System_and_socialNetworking_enhancement,Mobile,L,H,L,H,N,,,,,,,,,,,,,,,,,
,,,Module 1,,,,,,N,N,N,N,N,H,N,N,N,N,H,N,N,N,N,H,N
,,,Module 2,,,,,,N,N,N,N,N,H,N,N,N,H,H,H,N,N,N,H,N
,,,Module 3,,,,,,N,N,N,N,N,H,N,N,N,H,H,N,N,N,N,H,N
,,,Module 4,,,,,,N,N,N,N,N,H,N,N,N,H,H,N,N,N,N,H,N
,,,Module 5,,,,,,N,N,N,N,N,H,N,N,N,H,H,N,N,N,N,H,N
,,,Module 6,,,,,,N,N,N,N,N,H,N,N,N,L,H,N,N,N,N,H,N 
,,,Module 7,,,,,,N,N,N,N,N,H,N,N,N,L,H,N,N,N,N,H,N
6,Fall 2013,F13a_Yanomamo Interactive CDROM,Web,H,N,H,VH,N,,,,,,,,,,,,,,,,,
,,,Module 1,,,,,,H,L,VL,L,N,N,VH,L,N,H,H,H,N,H,L,VH,
,,,Module 2,,,,,,N,H,VL,H,N,N,N,L,N,H,H,L,N,N,L,VH,
12,Fall 2013,F13a_OnlineWedding_Management_System,Web,N,N,H,VH,N,,,,,,,,,,,,,,,,,
,,,Invitation,,,,,,VH,N,H,N,N,VH,N,N,H,H,VL,H,N,H,H,H,
,,,Emailer,,,,,,H,N,L,N,H,L,L,L,H,H,VL,H,N,H,H,H,
,,,Login and Registration,,,,,,H,N,H,L,H,L,N,L,H,H,VL,H,N,H,H,H,
,,,Survey,,,,,,N,N,L,H,N,N,N,L,H,H,VL,H,N,H,H,H,
16,Fall 2013,F13a_MedFRS_Device_Diagnostic_Software,Application,L,H,N,H,N,H,N,N,L,N,N,N,N,N,N,N,VL,L,N,N,VH,N
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
