NUM,Effort,Tran_Num,UseCase_Num,KSLOC,Personnel,Type,Priori_COCOMO_Estimate,COCOMO_Estimate,Activity_Num,Actor_Num,Avg_Actor,Boundary_Num,ControlNum,Entity_Num,Component_num,Attribute_num,Operation_num,class_num,Top_Level_Classes,Average_Depth_Inheritance_Tree,Average_Number_Of_Children_Per_Base_Class,Number_Of_Inheritance_Relationships,Depth_Inheritance_Tree,para_num,usage_num,real_num,assoc_num,externaloper_num,objectdata_num,avg_operation,avg_attribute,avg_parameter,avg_instVar,weightedoper_num,EI,EQ,INT,DM,CTRL,EXTIVK,EXTCLL,NT,Avg_TL,Avg_TD,Arch_Diff,UAW,TCF,EF,Simple_UC,Average_UC,Complex_UC,UUCP,UCP,EUCP,EXUCP,DUCP,SWTI,SWTII,SWTIII,NOET,NOAAE,NORT,NEM,NSR,NOA,NOS,WMC,MPC,NOCH,DIT,CBO,NIVPC,NUMS,NCI,NCIF,RR,NTLC,ANWMC,ADIT,NOCPBC,EIF,ILF,IFPUG,NI,NE,MKII,EXT,ERY,RED,WRT,COSMIC,DET,FTR,NT,NOC,NOA,NOUC,NOR,ANAPUC,ANRPUC,NOC,NOIR,NOUR,NORR,NOM,NOP,NOCAL,NOASSOC,ANMC,ANPC,ANCAC,ANASSOCC,ANRELC,NOC,NOAPC,NODET,NORET,NOMPC,NPPM,NMT
14,3142.629955,450,32,6.54,7,Website,283,291,519,6,0.1875,128,220,42,351,161,29,42,42,3.161746513,6.339797151,10,6,22,65,37,209,16,32,0.62,3.833333,0.73,3.833333,1.29,42,122,44,42,106,8,86,450,21.54717,5.877137,126.6357,17,1,1,0,0,16,240,240,240,268,270,240,268,270,0,161,0,30,14,161,16,2.29,0.68,0,6,0,3.833333,0,0,0,0,42,0.06,6,0,0,0,2139,472,472,1067.68,472,472,472,472,1888,0,0,39,42,0,16,0,0,0,42,0,0,0,16,11,161,0,0.8,0.76,3.833333,0,0,42,3.833333,0,0,0,0.47,32
15,1395.896038,82,20,6.569,7,Mobile App,292,1190.515,175,4,0.2,32,134,21,133,80,16,21,21,9.861100149,7.152769359,5,11,21,23,17,37,32,10,1.17,3.809524,0.69,3.809524,2.22,1,11,13,1,35,7,14,82,15.74286,7.191956,113.2219,23,1,1,0,0,10,150,150,135,141,158,135,141,158,0,80,0,15,19,80,10,1.65,1.02,0,11,0,3.809524,0,0,0,0,21,0.07,11,0,0,0,583,112,112,255.56,112,112,112,112,448,0,0,9,21,0,10,0,0,0,21,0,0,0,23,20,80,0,0.56,0.6,3.809524,0,0,21,3.809524,0,0,0,0.84,20
16,155.7751696,27,10,8.33,7,Mobile App,1945.6,279.4201,59,3,0.3,15,38,8,45,38,30,8,8,6.608873382,9.804900667,8,9,14,61,57,9,16,9,0.7,2.23,0.58,1.59,2.65,3,7,0,4,5,8,0,27,24.2,4.633333,112.1267,14,1,1,1,0,4,65,65,70,73,61,70,73,61,0,35,0,19,17,38,5,2.61,0.68,0,9,0,3.5,0,0,0,0,8,0.09,9,0,0,0,139,27,27,61.52,27,27,27,27,108,0,0,6,8,0,5,0,0,0,8,0,0,0,20,16,67,0,0.54,0.65,1.91,0,0,8,3.2,0,0,0,0.75,17
17,63.38809374,62,20,7.25,3,Website,965.2,227.6687,137,3,0.15,44,94,18,100,13,16,18,18,9.327350067,6.294117932,6,10,19,23,30,40,22,6,0.53,0.722222,0.68,0.722222,1.12,2,0,22,2,3,9,24,62,6.388889,3.416092,21.82503,14,1,1,1,2,7,130,130,125,124,118,125,124,118,0,13,0,17,22,13,10,2.18,0.57,0,10,0,0.722222,0,0,0,0,18,0.07,10,0,0,0,367,65,65,149.76,65,65,65,65,260,0,0,1,18,0,10,0,0,0,18,0,0,0,15,26,13,0,1.21,0.44,0.722222,0,0,18,0.722222,0,0,0,0.84,24
18,1180.135379,61,26,8.116,6,Website,2055.04,3150.961,191,5,0.192307692,59,154,32,143,99,31,32,32,9.150775279,9.576955243,5,9,31,69,43,159,31,8,0.96875,3.09375,0.96875,3.09375,4.5,3,13,23,3,23,14,26,61,7.245283,5.554806,40.24614,10,1,1,1,3,9,170,170,150,151,159,150,151,159,0,99,0,31,31,99,13,4.5,0.96875,0,9,0,3.09375,0,0,0,0,32,0.140625,9,0,0,0,560,99,99,229.3,99,99,99,99,396,0,0,9,32,0,13,0,0,0,32,0,0,0,31,31,99,0,0.96875,0.96875,3.09375,0,0,32,3.09375,0,0,0,0.96875,31
19,272.6229111,55,16,8.66,6,Information System,1734,2938,131,7,0.4375,18,64,18,91,64,27,18,18,6.829402544,7.402637432,8,9,15,42,39,49,20,7,0.73,1.79,0.58,3.42,1.99,5,8,1,5,18,12,6,55,11.38889,4.095066,46.63825,20,1,1,2,2,4,90,90,105,101,85,105,101,85,0,48,0,19,22,64,8,1.64,1.13,0,9,0,3.26,0,0,0,0,18,0.08,9,0,0,0,424,66,66,152.52,66,66,66,66,264,0,0,10,18,0,8,0,0,0,18,0,0,0,16,14,79,0,0.5,0.95,1.73,0,0,18,2.98,0,0,0,0.86,14
20,585.3043105,45,16,6.28,4,Tool,321.12,235.129,103,6,0.375,250,104,12,82,1,16,12,12,7.561008458,6.602084782,9,10,15,34,29,1,28,1,1.17,0.083333,0.6,0.083333,1.99,4,3,0,4,23,7,4,45,8.391304,10.76044,90.29409,25,1,1,1,0,7,110,110,115,137,120,115,137,120,0,1,0,32,15,1,8,1.92,0.75,0,10,0,0.083333,0,0,0,0,12,0.05,10,0,0,0,293,45,45,103.92,45,45,45,45,180,0,0,9,12,0,8,0,0,0,12,0,0,0,21,18,1,0,0.55,0.41,0.083333,0,0,12,0.083333,0,0,0,0.7,22
21,760.9729582,80,16,5.87,5,Website,2076.32,161.7772,185,3,0.1875,19,222,17,144,53,17,17,17,6.805324151,6.328713917,8,7,16,29,28,53,28,9,0.87,2.6,0.78,1.71,1.63,4,21,0,4,43,4,4,80,9.27907,12.64912,117.3721,24,1,1,1,0,7,110,110,125,155,143,125,155,143,0,80,0,30,21,53,8,2.3,1.11,0,7,0,1.76,0,0,0,0,17,0.09,7,0,0,0,466,84,84,192.06,84,84,84,84,336,0,0,14,17,0,8,0,0,0,17,0,0,0,29,25,52,0,0.85,0.43,1.67,0,0,17,2.25,0,0,0,0.73,32
22,375.3311755,39,16,7.47,8,Website,430.16,304.5192,102,6,0.375,20,106,18,78,27,21,18,18,3.177474926,6.560122675,5,6,20,42,41,46,30,6,1.06,1.5,0.81,1.5,2.06,4,1,0,4,12,14,4,39,5,5.736205,28.68102,29,1,1,4,1,3,75,75,120,126,124,120,126,124,0,27,0,26,21,27,8,2.48,0.68,0,6,0,1.5,0,0,0,0,18,0.07,6,0,0,0,392,61,61,140.54,61,61,61,61,244,0,0,3,18,0,8,0,0,0,18,0,0,0,31,17,27,0,0.77,0.66,1.5,0,0,18,1.5,0,0,0,0.48,28
23,280.6619826,35,14,7.593,8,Mobile App,1626.4,3452.692,76,7,0.5,43,28,14,57,82,31,14,14,5.748555178,9.889381571,7,8,16,31,35,27,15,7,0.75,1.99,0.81,1.93,1.48,4,6,9,5,3,11,9,35,12.2,3.778999,46.10379,21,1,1,4,0,3,65,65,90,86,73,90,86,73,0,38,0,26,31,82,7,2.36,0.62,0,8,0,2.59,0,0,0,0,14,0.07,8,0,0,0,229,35,35,81.26,35,35,35,35,140,0,0,3,14,0,7,0,0,0,14,0,0,0,28,23,79,0,1.15,0.67,3.53,0,0,14,2.71,0,0,0,0.9,28
24,450.8323685,37,18,8.31,9,Mobile App,1626.4,3452.692,121,4,0.222222222,37,96,20,86,82,19,20,20,4.975025862,8.535823224,9,6,12,36,34,74,32,10,0.62,3.13,0.77,3.42,1.8,3,2,8,3,11,6,8,37,12.90909,4.066982,52.50103,15,1,1,2,5,2,90,90,115,112,100,115,112,100,0,64,0,29,28,82,9,1.98,0.86,0,6,0,2.56,0,0,0,0,20,0.05,6,0,0,0,301,36,36,85.58,36,36,36,36,144,0,0,0,20,0,9,0,0,0,20,0,0,0,14,25,37,0,0.59,0.87,2.22,0,0,20,2.8,0,0,0,0.68,15
25,887.1789351,143,36,6.4,7,Mobile App,1444,1395.776,250,4,0.111111111,22,226,19,191,5,31,19,19,8.193826613,6.190075623,7,10,15,72,60,34,27,4,1.11,0.263158,0.7,0.263158,2.62,10,41,4,10,53,11,14,143,12.33962,5.884943,72.61797,21,1,1,1,4,13,240,240,245,258,239,245,258,239,0,5,0,14,31,5,18,2.7,0.92,0,10,0,0.263158,0,0,0,0,19,0.07,10,0,0,0,677,143,143,323.96,143,143,143,143,572,0,0,5,19,0,18,0,0,0,19,0,0,0,20,17,5,0,0.98,0.44,0.263158,0,0,19,0.263158,0,0,0,0.52,28
26,103.1379927,76,40,6.93,7,Mobile App,1444,1395.776,217,8,0.2,66,178,30,158,8,39,30,30,3.616444323,7.430307531,6,7,39,69,53,41,39,1,1.3,0.266667,1.3,0.266667,2.4,3,33,32,3,36,3,32,76,8.75,2.716561,23.76991,22,1,1,10,8,2,160,160,295,277,261,295,277,261,0,8,0,39,39,8,20,2.4,1.3,0,7,0,0.266667,0,0,0,0,30,0.08,7,0,0,0,530,75,75,175.8,75,75,75,75,300,0,0,3,30,0,20,0,0,0,30,0,0,0,39,39,8,0,1.3,1.3,0.266667,0,0,30,0.266667,0,0,0,1.3,39
27,444.6180746,30,16,10.78,5,Mobile App,1291,2918,71,6,0.375,18,70,26,54,41,34,26,26,7.930115577,5.48711269,5,8,37,45,49,19,34,11,1.307692,1.576923,1.423077,1.576923,3.3,2,28,13,4,14,12,13,30,12.07143,3.885414,46.90249,12,1,1,5,2,1,60,60,85,85,90,85,85,90,0,41,1,34,34,41,8,3.3,1.307692,0,8,0,1.576923,0,0,0,0,26,0.126923,8,0,0,0,344,29,29,71.72,29,29,29,29,116,0,0,0,26,0,8,0,0,0,26,0,0,1,34,37,41,0,1.307692,1.423077,1.576923,0,0,26,1.576923,0,0,0,1.423077,34
28,458.5275815,37,12,9.86,3,Mobile App,2983,1828,114,3,0.25,50,42,14,88,28,20,14,14,3.360169284,5.858819205,7,4,51,40,35,2,20,1,1.428571,2,3.642857,2,1.8,3,25,13,3,16,14,13,37,9.625,7.994962,76.95151,14,1,1,2,1,3,65,65,100,113,107,100,113,107,0,28,0,20,20,28,6,1.8,1.428571,0,4,0,2,0,0,0,0,14,0.128571,4,0,0,0,255,37,37,86.78,37,37,37,37,148,0,0,5,14,0,6,1,0.166667,0.166667,14,0,0,0,20,51,28,0,1.428571,3.642857,2,0,0,14,2,0,0,0,3.642857,20
29,335.4809516,87,36,8.38,5,Website,3321,832,219,3,0.083333333,35,206,16,161,52,29,16,16,6.78242478,8.86757542,9,10,28,41,53,45,31,12,1,2.2,0.86,3.46,2.67,4,13,0,5,54,11,0,87,7.259259,3.464704,25.15118,10,1,1,7,5,6,175,175,270,257,243,270,257,243,0,52,2,14,27,52,18,1.92,0.99,0,10,0,2.52,0,0,0,0,16,0.09,10,0,0,0,421,87,87,198.52,87,87,87,87,348,0,0,2,16,0,18,0,0,0,16,0,0,2,32,17,80,0,1.04,0.83,2.48,0,0,16,2.52,0,0,0,0.64,22
30,1603.839109,127,48,11.72,9,Website,1231.2,629.2375,263,3,0.0625,81,124,24,198,83,32,24,24,9.540505403,8.308743867,6,11,25,48,62,94,25,7,0.85,2.75,0.65,2.63,2.49,5,26,16,5,40,14,21,127,13.2,5.098947,67.30611,17,1,1,9,7,8,235,235,315,314,278,315,314,278,0,63,0,31,16,83,24,2.44,1.07,0,11,0,2.56,0,0,0,0,24,0.1,11,0,0,0,637,127,127,289.16,127,127,127,127,508,0,0,5,24,0,24,0,0,0,24,0,0,0,23,27,34,0,0.89,0.63,1.6,0,0,24,2.69,0,0,0,0.85,31
31,129.8950649,34,16,8.88,7,Website,1182.56,368.867,83,3,0.1875,20,88,14,64,21,32,14,14,4.440384601,9.999748765,8,7,15,70,61,7,31,4,1.19,1.5,0.67,1.5,1.9,3,10,6,5,20,4,6,34,7.3,3.936667,28.73767,11,1,1,4,2,2,70,70,105,102,105,105,102,105,0,21,0,18,19,21,8,1.78,0.55,0,7,0,1.5,0,0,0,0,14,0.09,7,0,0,0,262,42,42,97.2,42,42,42,42,168,0,0,6,14,0,8,0,0,0,14,0,0,0,20,21,21,0,0.79,0.56,1.5,0,0,14,1.5,0,0,0,0.76,26
32,1072.483171,32,16,8.47,9,Website,1334,322,104,5,0.3125,43,58,18,72,67,33,18,18,3.37247863,9.621186869,6,4,13,85,40,64,20,7,1.17,2.82,0.87,2.16,2.29,5,19,12,3,12,7,12,32,10.66667,2.986111,31.85185,23,1,1,0,8,0,80,80,100,100,90,100,100,90,0,73,0,29,27,67,8,2.19,0.99,0,4,0,2.54,0,0,0,0,18,0.05,4,0,0,0,263,32,32,76.62,32,32,32,32,128,0,0,4,18,0,8,0,0,0,18,0,0,0,23,25,73,0,0.95,0.78,3.53,0,0,18,2.07,0,0,0,0.7,30
33,4111.50803,48,24,9.88,8,Mobile App,1532,2332,179,8,0.333333333,28,204,26,131,5,20,26,26,3.026384653,8.316512112,9,4,22,29,34,83,20,2,0.769231,0.192308,0.846154,0.192308,2.1,2,12,0,4,18,12,0,48,8.555556,5.155247,44.106,17,1,1,5,4,3,110,110,145,140,124,145,140,124,0,5,0,20,20,5,12,2.1,0.769231,0,4,0,0.192308,0,0,0,0,26,0.080769,4,0,0,0,394,47,47,112.04,47,47,47,47,188,0,0,6,26,0,12,0,0,0,26,0,0,0,20,22,5,0,0.769231,0.846154,0.192308,0,0,26,0.192308,0,0,0,0.846154,20
34,358.1739947,0,4,9.96,4,Website,3123,1123,128,6,1.5,245,0,11,0,13,8,11,11,7.430642638,5.009112686,6,9,8,21,9,1,8,1,0.727273,1.181818,0.727273,1.181818,0.6,5,20,0,3,0,12,0,0,0,0,0,18,1,1,2,0,0,10,10,0,0,0,0,0,0,0,13,0,8,8,13,2,0.6,0.727273,0,9,0,1.181818,0,0,0,0,11,0.054545,9,0,0,0,101,0,0,2.86,0,0,0,0,0,0,0,0,11,0,2,0,0,0,11,0,0,0,8,8,13,0,0.727273,0.727273,1.181818,0,0,11,1.181818,0,0,0,0.727273,8
35,1854.819919,29,18,6.41,9,Website,2311,938,79,4,0.222222222,33,56,10,61,43,16,10,10,7.624182085,5.16626579,6,10,26,38,20,7,31,6,1.17,4.3,0.83,4.3,1.19,4,17,11,3,13,4,11,29,10.76923,3.068681,33.04734,24,1,1,8,1,0,50,50,135,135,138,135,135,138,0,43,0,29,23,43,9,2.12,0.99,0,10,0,4.3,0,0,0,0,10,0.05,10,0,0,0,178,29,29,67.3,29,29,29,29,116,0,0,3,10,0,9,0,0,0,10,0,0,0,28,25,43,0,0.64,0.83,4.3,0,0,10,4.3,0,0,0,0.78,18
36,827.9320599,163,44,8.38,7,Website,2235,487,364,4,0.090909091,134,270,14,275,32,19,14,14,3.963867522,8.460778046,6,5,23,39,37,32,19,7,0.78,2.285714,0.87,2.285714,2.08,4,6,46,5,58,10,46,163,14.39655,4.427145,63.73563,14,1,1,6,5,11,245,245,375,373,400,375,373,400,0,32,0,15,16,32,22,1.94,1.05,0,5,0,2.285714,0,0,0,0,14,0.09,5,0,0,0,709,163,163,368.24,163,163,163,163,652,0,0,3,14,0,22,0,0,0,14,0,0,0,29,17,32,0,0.74,0.94,2.285714,0,0,14,2.285714,0,0,0,0.85,32
37,1533.755987,121,48,7.15,8,Website,212,592,290,7,0.145833333,193,18,17,215,37,33,17,17,7.558199901,6.430869531,5,9,12,47,55,41,21,10,0.74,2.176471,0.41,2.176471,2.25,5,33,25,3,25,5,25,121,22.68,3.724807,84.47863,12,1,1,7,6,11,260,260,335,332,352,335,332,352,0,37,0,16,13,37,24,2.11,0.56,0,9,0,2.176471,0,0,0,0,17,0.1,9,0,0,0,571,121,121,275.2,121,121,121,121,484,0,0,3,17,0,24,0,0,0,17,0,0,0,32,20,37,0,0.63,0.51,2.176471,0,0,17,2.176471,0,0,0,0.64,22
38,1183.136296,58,32,9.71,6,Mobile App,983,1823,171,5,0.15625,38,152,16,130,41,33,16,16,7.727260855,6.990407959,8,9,19,64,60,50,13,9,1.17,2.5625,0.54,2.5625,1.36,4,14,2,3,23,13,28,58,5.46,3.567754,19.47993,8,1,1,6,10,0,130,130,220,213,227,220,213,227,0,41,1,32,32,41,16,2.43,0.67,0,9,0,2.5625,0,0,0,0,16,0.1,9,0,0,0,351,57,57,131.32,57,57,57,57,228,0,0,4,16,0,16,0,0,0,16,0,0,1,16,21,41,0,0.7,0.95,2.5625,0,0,16,2.5625,0,0,0,0.83,20
39,1200.257039,133,40,8.63,4,Information System,2918,223,238,7,0.175,15,252,32,168,103,19,32,32,3.596557195,6.167948596,6,4,19,41,23,107,19,14,0.59375,3.21875,0.59375,3.21875,2.4,3,10,0,4,106,10,0,133,5.226415,7.512899,39.26553,15,1,1,10,3,7,185,185,235,238,247,235,238,247,0,103,8,19,19,103,20,2.4,0.59375,0,4,0,3.21875,0,0,0,3,32,0.075,4,0,0,0,706,132,132,304,132,132,132,132,528,0,0,4,32,0,20,0,0,0,32,0,3,5,19,19,103,0,0.59375,0.59375,3.21875,0,0,32,3.21875,0,0,0,0.59375,19
40,887.2103898,75,38,8.83,5,Information System,1283,1832,191,3,0.078947368,43,166,30,141,99,20,30,30,5.084558894,5.774136749,7,7,24,28,25,141,31,26,0.56,3.3,0.67,3.3,1.18,4,2,12,3,39,7,12,75,8.384615,3.128489,26.23117,26,1,1,9,7,3,160,160,240,231,230,240,231,230,0,99,0,31,31,99,19,2.07,1.18,0,7,0,3.3,0,0,0,0,30,0.05,7,0,0,0,471,75,75,175.54,75,75,75,75,300,0,0,2,30,0,19,0,0,0,30,0,0,0,31,11,99,0,0.87,0.94,3.3,0,0,30,3.3,0,0,0,0.53,30
41,762.7585805,118,42,6.35,5,Information System,842,293,249,3,0.071428571,83,184,42,191,96,14,42,42,8.61787586,9.063926859,6,11,14,36,27,13,14,15,0.333333,2.285714,0.333333,2.285714,3.3,2,0,41,3,23,8,41,118,9.080645,3.330598,30.24398,18,1,1,6,5,10,230,230,260,246,257,260,246,257,0,96,1,14,14,96,21,3.3,0.333333,0,11,0,2.285714,0,0,0,0,42,0.078571,11,0,0,0,743,117,117,272.74,117,117,117,117,468,0,0,0,42,0,21,0,0,0,42,0,0,1,14,14,96,0,0.333333,0.333333,2.285714,0,0,42,2.285714,0,0,0,0.333333,14
