Proj,Simple_Actors,Average_Actors,Complex_Actors,UAW,Simple_UC,Average_UC,Complex_UC,UUCW,UUCP,TCF,EF,UCP,Real_P20,Real_Effort_Person_Hours,Use_Case_Num,Sector,KSLOC,Language,Methodology,Application_Type,DataDonator
27,1,1,3,12,0,14,11,305,317,0.78,0.51,126.1026,339.35,6787,25,Medical & Health Care,1,Other,Other,Other,D1
28,1,0,2,7,1,9,14,305,312,1.08,0.77,259.4592,338.2,6764,24,Service Industry,1,Other,Other,Other,D1
29,0,2,1,7,4,15,14,380,387,1.05,0.95,386.0325,338.05,6761,33,Manufacturing,1,SQL,Other,Business Application,D2
30,0,2,1,7,0,15,10,300,307,0.85,0.89,232.2455,336.25,6725,25,Manufacturing,1,Other,Waterfall,Real-Time Application,D2
31,1,0,2,7,1,16,9,300,307,1.02,1,339.7569,334.5,6690,26,Medical & Health Care,1,Other,Other,Other,D2
32,0,2,1,7,0,18,8,300,307,1.08,0.77,255.3012,330,6600,26,Government,1,Oracle,Multifunctional Teams,Business Application,D2
33,2,1,1,7,0,17,8,290,297,0.94,1.02,284.7636,323.7,6474,25,Government,1,Visual Basic,Other,Other,D2
34,0,0,2,6,0,13,15,355,361,0.95,0.92,315.514,321.65,6433,28,Government,1,C#,Other,Infrastructure Software,D2
35,1,0,2,7,1,13,10,285,292,0.78,0.79,179.9304,320.8,6416,24,Insurance,1,C#,Other,Business Application,D2
36,0,1,2,8,0,14,10,290,298,0.94,1.02,285.7224,320.6,6412,24,Electronics & Computers,1,C#,Incremental,Other,D2
37,0,0,2,6,4,20,9,355,361,0.9,0.94,305.406,320,6400,33,Manufacturing,1,Visual Basic,Waterfall,Business Application,D2
38,1,0,2,7,1,10,12,285,292,0.71,0.73,151.3436,318,6360,23,Insurance,1,C#,Other,Other,D2
39,0,0,2,6,0,13,15,355,361,0.9,0.91,295.659,316.85,6337,28,Wholesale & Retail,1,Visual Basic,Other,Other,D2
40,2,2,4,18,1,20,27,610,628,0.72,0.67,302.9472,312,6240,48,Insurance,1,Other,Other,Business Application,D2
41,1,0,2,7,1,11,11,280,287,0.78,0.51,114.1686,311.6,6232,23,Government,1,C#,Other,Business Application,D2
42,1,0,2,7,1,14,9,280,287,1.03,0.8,236.488,308.65,6173,24,Wholesale & Retail,1,DELPHI,Rapid Application Development (RAD),Business Application,D2
43,0,0,2,6,0,12,15,345,351,1,0.92,322.92,308,6160,27,Insurance,1,Visual Basic,Waterfall,Business Application,D2
44,0,0,2,6,2,15,12,340,346,1,0.95,359.9265,305.85,6117,29,Banking,1,C#,Other,Business Application,D2
45,2,1,1,7,2,13,9,275,282,0.75,0.81,171.315,303.1,6062,24,Insurance,1,Visual Basic,Waterfall,Business Application,D2
46,0,2,5,19,1,27,15,500,519,1.03,0.8,427.656,302.55,6051,43,Service Industry,1,C#,Other,Business Application,D2
47,1,1,5,18,3,26,15,500,518,0.72,0.67,249.8832,302.4,6048,44,Banking,1,ASP,Other,Business Application,D2
48,0,3,4,18,2,19,20,500,518,0.85,0.89,391.867,301.75,6035,41,Service Industry,1,Other,Other,Business Application,D2
49,0,0,2,6,1,19,5,270,276,0.965,0.755,201.0867,301.2,6024,25,Banking,1,C#,Other,Other,D2
50,0,0,6,18,20,25,9,485,503,0.85,0.88,376.244,301.15,6023,54,Service Industry,1,PowerBuilder,Other,Business Application,D2
51,2,2,4,18,5,25,20,575,593,1,0.995,659.65913,299.65,5993,50,Insurance,1,C#,Waterfall,Other,D2
52,1,1,5,18,4,16,21,495,513,0.85,0.88,383.724,299.25,5985,41,Government,1,C#,Other,Business Application,D3
53,0,3,4,18,5,21,17,490,508,0.75,0.81,308.61,298.55,5971,43,Government,1,C#,Other,Business Application,D3
54,1,1,5,18,5,21,17,490,508,0.81,0.84,345.6432,298.1,5962,43,Banking,1,Java,Other,Business Application,D3
55,1,1,5,18,6,16,20,490,508,0.85,0.89,384.302,297.2,5944,42,Medical & Health Care,1,Other,Other,Other,D3
56,0,1,5,17,5,25,20,575,592,0.85,0.88,442.816,297,5940,50,Insurance,1,Other,Waterfall,Other,D3
57,0,0,2,6,0,14,8,260,266,0.98,0.97,252.8596,296.35,5927,22,,1,C#,Other,Business Application,D3
58,0,1,5,17,3,18,19,480,497,0.85,0.89,375.9805,294.25,5885,40,Professional Services,1,Java,Waterfall,Business Application,D3
59,1,1,5,18,5,16,20,485,503,1.08,0.77,418.2948,294.1,5882,41,Manufacturing,1,Java,Other,Business Application,D3
60,0,0,2,6,1,14,12,325,331,0.72,0.67,159.6744,294,5880,27,,1,Other,Other,Other,D3
61,2,2,4,18,3,26,14,485,503,0.82,0.79,325.8434,294,5880,43,,1,C#,Other,Business Application,D3
62,1,1,1,6,1,10,15,330,336,0.96,0.96,309.6576,293.8,5876,26,Communication,1,C++,Other,Business Application,D3
63,0,0,2,6,0,3,20,330,336,0.85,0.89,254.184,293.65,5873,23,Service Industry,1,C#,Multifunctional Teams,Business Application,D3
64,1,1,5,18,3,17,20,485,503,1,0.95,523.24575,293.25,5865,40,Medical & Health Care,1,Other,Other,Other,D3
65,0,0,6,18,2,17,20,480,498,0.965,0.755,362.83035,293.15,5863,39,,1,Visual Basic,Other,Other,D3
66,1,1,5,18,3,21,17,480,498,0.98,0.97,473.3988,292.8,5856,41,Communication,1,Other,Waterfall,Mathematically-Intensive Application,D3
67,0,3,4,18,2,18,18,460,478,1.05,0.95,476.805,290,5800,38,Government,1,SQL,Other,Business Application,D3
68,1,2,4,17,1,23,22,565,582,1.03,0.8,479.568,289.55,5791,46,Banking,1,C,Other,Real-Time Application,D3
69,0,2,5,19,5,30,10,475,494,0.95,0.92,431.756,289.1,5782,45,Medical & Health Care,1,C#,Other,Business Application,D3
70,0,0,2,6,5,15,5,250,256,1,0.92,235.52,288.9,5778,25,Insurance,1,C#,Waterfall,Business Application,D3
71,2,2,4,18,5,18,17,460,478,0.85,0.89,361.607,288.75,5775,40,Insurance,1,Java,Waterfall,Business Application,D3
