id,attribute,type,element
122,id,EAJava_int,Security Question
123,question,EAJava_String,Security Question
124,name,EAJava_String,Services
125,service_id,EAJava_int,Services
126,type,EAJava_String,Services
127,undefined,EAID_62FBA540_17D7_424a_AA06_53207725BAFB,Services
128,Attach_name,EAJava_String,Template Attachment
129,Attach_path,EAJava_String,Template Attachment
130,id,EAJava_int,Template Attachment
131,template_id,EAJava_int,Template Attachment
132,answer1,EAJava_String,User Security Question
133,answer2,EAJava_String,User Security Question
134,answer3,EAJava_String,User Security Question
135,sq_id1,EAJava_int,User Security Question
136,sq_id2,EAJava_int,User Security Question
137,sq_id3,EAJava_int,User Security Question
138,user_id,EAJava_int,User Security Question
139,undefined,EAID_4B1E88D3_4F8B_4ccc_A9A6_193A2B021904,User Security Question
140,time,EAJava_Timestamp,User_tokens
141,token,EAJava_String,User_tokens
142,undefined,EAID_575447BA_5219_49de_A1C1_F1F76E065C0A,User_tokens
143,active,EAJava_byte,Users
144,address1,EAJava_String,Users
145,address2,EAJava_String,Users
146,city,EAJava_String,Users
147,email,EAJava_String,Users
148,first_name,EAJava_String,Users
149,last_name,EAJava_String,Users
150,level,EAJava_byte,Users
151,phone_number,EAJava_String,Users
152,state,EAJava_String,Users
153,userId,EAJava_int,Users
154,username,EAJava_String,Users
155,zip,EAJava_String,Users
156,undefined,EAID_21D43AEB_2ECB_4ab7_B78E_FD02A13E33B2,Users
157,undefined,EAID_E3833048_C841_4efd_A22C_4A0BA3E43AF8,Users
158,undefined,EAID_DEF8BB56_27BD_4b1a_9730_25959CA34C67,Users
159,undefined,EAID_D643561A_2539_4dd3_BE84_3DB9D053855D,Users
160,undefined,EAID_FFC8F666_08AD_46f4_8279_3A4957B4D224,Users
161,undefined,EAID_87F8AD5A_FAC5_4d9f_A0D7_49636C055AB4,Users
